number,name_horse,horse_age,weight,race_place,distance,prize,win_odd,draw,entraineur,proprietaire,sex
1,REACH OUT,11,625 ,4,1600,69186,26,11,R W Harrison,Ms L E Mccormack,HONGRE
2,ANIMATOR,8,620 ,8,1600,85482,6.9,15,T Busuttin N Young,B W Hawtin L R Castle L K Tomk,HONGRE
3,SAVEYOURENTHUSIASM,7,600 ,3,1600,66669,7.4,2,R D Griffiths,J C Swift A K Boyce A E Plousi,HONGRE
4,REAL THINKER,6,590 ,5,1600,50160,12,5,E V Musgrove,Mrs I E H Musgrove O Huson A M,HONGRE
5,HAVIERON,4,585 ,1,1600,10038,9.1,1,M M Laurie,C J Bourke G R Treweek J Buckl,HONGRE
7,FLOREAT PICA,4,580 ,2,1600,26511,7.6,3,D B Hayes T Dabernig,G R Lechte J Lechte D A Hayes,HONGRE
8,OLYMPIC,4,580 ,2,1600,19492,24,6,C J Waller,Star Thoroughbreds Pty Ltd ms D,HONGRE
10,MISS HELLBENDER,5,575 ,5,1600,57090,11,10,Archie Aleander,Herodicus Racing  mgr Dr B R,FEMELLE
11,SINGLE CROWN,4,575 ,4,1600,22934,6.1,13,M Price M Kent Jnr,Blueblood Thoroughbreds Syndicat,HONGRE
12,VIRTUOUS,5,560 ,5,1600,38918,9.6,12,R D Griffiths,Ryco Equine Pty Ltd mgr G T Ry,FEMELLE
13,SURETOSHINE,6,565 ,6,1600,36564,7.8,14,S B Laming,S B Laming The Oaks Stud mgr,FEMELLE
