pays,population
Afghanistan,29121286
Aland Islands,26711
Albania,2986952
Algeria,34586184
American Samoa,57881
Andorra,84000
Angola,13068161
Anguilla,13254
Antarctica,0
Antigua and Barbuda,86754
Argentina,41343201
Armenia,2968000
Aruba,71566
Australia,21515754
Austria,8205000
Azerbaijan,8303512
Bahamas,301790
Bahrain,738004
Bangladesh,156118464
Barbados,285653
Belarus,9685000
Belgium,10403000
Belize,314522
Benin,9056010
Bermuda,65365
Bhutan,699847
Bolivia,9947418
Bonaire & Saint Eustatius and Saba,18012
Bosnia and Herzegovina,4590000
Botswana,2029307
Bouvet Island,0
Brazil,201103330
British Indian Ocean Territory,4000
British Virgin Islands,21730
Brunei,395027
Bulgaria,7148785
Burkina Faso,16241811
Burundi,9863117
Cambodia,14453680
Cameroon,19294149
Canada,33679000
Cape Verde,508659
Cayman Islands,44270
Central African Republic,4844927
Chad,10543464
Chile,16746491
China,1330044000
Christmas Island,1500
Cocos Islands,628
Colombia,44205293
Comoros,773407
Cook Islands,21388
Costa Rica,4516220
Croatia,4491000
Cuba,11423000
Curacao,141766
Cyprus,1102677
Czech Republic,10476000
Democratic Republic of the Congo,70916439
Denmark,5484000
Djibouti,740528
Dominica,72813
Dominican Republic,9823821
East Timor,1154625
Ecuador,14790608
Egypt,80471869
El Salvador,6052064
Equatorial Guinea,1014999
Eritrea,5792984
Estonia,1291170
Ethiopia,88013491
Falkland Islands,2638
Faroe Islands,48228
Fiji,875983
Finland,5244000
France,64768389
French Guiana,195506
French Polynesia,270485
French Southern Territories,140
Gabon,1545255
Gambia,1593256
Georgia,4630000
Germany,81802257
Ghana,24339838
Gibraltar,27884
Greece,11000000
Greenland,56375
Grenada,107818
Guadeloupe,443000
Guam,159358
Guatemala,13550440
Guernsey,65228
Guinea,10324025
Guinea-Bissau,1565126
Guyana,748486
Haiti,9648924
Heard Island and McDonald Islands,0
Honduras,7989415
Hong Kong,6898686
Hungary,9982000
Iceland,308910
India,1173108018
Indonesia,242968342
Iran,76923300
Iraq,29671605
Ireland,4622917
Isle of Man,75049
Israel,7353985
Italy,60340328
Ivory Coast,21058798
Jamaica,2847232
Japan,127288000
Jersey,90812
Jordan,6407085
Kazakhstan,15340000
Kenya,40046566
Kiribati,92533
Kosovo,1800000
Kuwait,2789132
Kyrgyzstan,5508626
Laos,6368162
Latvia,2217969
Lebanon,4125247
Lesotho,1919552
Liberia,3685076
Libya,6461454
Liechtenstein,35000
Lithuania,3565000
Luxembourg,497538
Macao,449198
Macedonia,2062294
Madagascar,21281844
Malawi,15447500
Malaysia,28274729
